real,prediccion,clase_real,clase_pred
382.0,339.33444,Muy Alto,Muy Alto
31.0,28.12015,Medio,Medio
13.0,9.232035,Medio,Bajo
18.0,4.362202,Medio,Bajo
76.0,59.935787,Alto,Alto
34.0,26.97579,Medio,Medio
27.0,25.165346,Medio,Medio
44.0,18.309893,Medio,Medio
30.0,6.4100385,Medio,Bajo
85.0,76.07653,Alto,Alto
25.0,25.423729,Medio,Medio
213.0,160.98991,Muy Alto,Muy Alto
72.0,14.951906,Alto,Medio
23.0,7.9388995,Medio,Bajo
33.0,13.182566,Medio,Medio
9.0,3.257327,Bajo,Bajo
11.0,2.4160953,Medio,Bajo
16.0,5.464442,Medio,Bajo
168.0,106.30591,Muy Alto,Muy Alto
14.0,16.934301,Medio,Medio
69.0,40.170082,Alto,Medio
23.0,20.46931,Medio,Medio
6.0,4.318773,Bajo,Bajo
4.0,5.4344063,Bajo,Bajo
41.0,31.632547,Medio,Medio
8.0,3.0515192,Bajo,Bajo
