real,prediccion,clase_real,clase_pred
382.0,133.05847,Muy Alto,Muy Alto
31.0,21.81009,Medio,Medio
13.0,18.600117,Medio,Medio
18.0,25.675512,Medio,Medio
76.0,27.33177,Alto,Medio
34.0,15.505118,Medio,Medio
27.0,35.16046,Medio,Medio
44.0,49.025043,Medio,Medio
30.0,19.541687,Medio,Medio
85.0,102.17732,Alto,Muy Alto
25.0,33.489117,Medio,Medio
213.0,116.953156,Muy Alto,Muy Alto
72.0,93.7749,Alto,Alto
23.0,19.522743,Medio,Medio
33.0,23.577028,Medio,Medio
9.0,20.03451,Bajo,Medio
11.0,10.648858,Medio,Medio
16.0,26.171759,Medio,Medio
168.0,113.37298,Muy Alto,Muy Alto
14.0,10.734963,Medio,Medio
69.0,57.631153,Alto,Alto
23.0,21.684753,Medio,Medio
6.0,3.8530283,Bajo,Bajo
4.0,16.48849,Bajo,Medio
41.0,51.067585,Medio,Alto
8.0,6.274575,Bajo,Bajo
